Player Name,Team,Role,Total Kills,Total Assists,Total Damage Dealt,Total Damage Taken,Total Amount Healed,Total Games,Avg Kills,Avg Assists,Avg Damage Dealt,Avg Damage Taken,Avg Amount Healed
"EMPEROR","FAKER-FAMILY","Unassigned","48","183","5299462","7049931","628579","3","16.00","61.00","1766487","2349977","209526"
"Esperek","DYNASTY","Unassigned","48","87","4226573","4173400","109167","2","24.00","43.50","2113287","2086700","54584"
"Raye","INFISM","Unassigned","47","430","4557170","7131098","4721895","11","4.27","39.09","414288","648282","429263"
"Siegmann","Omen","Unassigned","47","94","2302629","592941","38","1","47.00","94.00","2302629","592941","38"
"dopeez","SORROW","Unassigned","46","88","2472842","4672042","70423","3","15.33","29.33","824281","1557347","23474"
"MickieTheGee","Orca","Unassigned","46","156","2135017","3775673","45139","2","23.00","78.00","1067509","1887837","22570"
"san3k","JustCrits","Unassigned","46","106","2737867","1356703","9329","1","46.00","106.00","2737867","1356703","9329"
"Tiamor","FAKER-FAMILY","Unassigned","45","58","3021931","3933340","1897513","3","15.00","19.33","1007310","1311113","632504"
"cotangent","NIGHTSHIFT","Unassigned","45","143","2559027","3523609","62869","2","22.50","71.50","1279514","1761805","31435"
"onehorned","FAKER-FAMILY","Unassigned","45","31","1564455","924574","47291","1","45.00","31.00","1564455","924574","47291"
"Devilexe","AVENGERS","Unassigned","44","317","4066538","13724950","1808033","7","6.29","45.29","580934","1960707","258290"
"DoMoWol","AVENGERS","Unassigned","44","232","3477486","7784202","351349","7","6.29","33.14","496784","1112029","50193"
"EdwardThatch","AVENGERS","Unassigned","44","76","1625233","2389033","72312","2","22.00","38.00","812617","1194517","36156"
"Schaefchen","DYNASTY","Unassigned","43","127","5377783","5101200","37678","2","21.50","63.50","2688892","2550600","18839"
"KingBooty","JustCrits","Unassigned","43","101","2417229","159983","3565","1","43.00","101.00","2417229","159983","3565"
"Dragonwind","DYNASTY","Unassigned","42","98","4405875","5969493","125072","3","14.00","32.67","1468625","1989831","41691"
"Mamardashpili","Mythros","Unassigned","42","121","4225587","2269008","132031","2","21.00","60.50","2112794","1134504","66016"
"ButtYNugget","Omen","Unassigned","42","112","3067200","1366387","0","1","42.00","112.00","3067200","1366387","0"
"Crystaltears","FAKER-FAMILY","Unassigned","41","101","3222495","5072008","122229","3","13.67","33.67","1074165","1690669","40743"
"UrekMazinoS","V3RTEX","Unassigned","40","59","2164193","7064534","2526","4","10.00","14.75","541048","1766134","632"
"Kruczq","Orca","Unassigned","40","216","2189784","1783319","129189","2","20.00","108.00","1094892","891660","64595"
"Nyltia","SOVEREIGN","Unassigned","40","56","2505005","2768353","25450","2","20.00","28.00","1252503","1384177","12725"
"IFUI","DYNASTY","Unassigned","39","142","6209679","5890841","68936","3","13.00","47.33","2069893","1963614","22979"
"Rizenfall","INFISM","Unassigned","39","60","1989368","739758","60441","1","39.00","60.00","1989368","739758","60441"
"KoiraG","Omen","Unassigned","39","89","2479060","344905","0","1","39.00","89.00","2479060","344905","0"
"imnotspinner","NIGHTSHIFT","Unassigned","39","46","2775260","2073121","33564","2","19.50","23.00","1387630","1036561","16782"
"QERR92","FAKER-FAMILY","Unassigned","38","144","4607964","4283818","273079","3","12.67","48.00","1535988","1427939","91026"
"ErrorX","Royal Legion","Unassigned","38","161","2566654","5882124","257311","4","9.50","40.25","641664","1470531","64328"
"Hmem","AVENGERS","Unassigned","37","459","2916824","8068422","1017208","7","5.29","65.57","416689","1152632","145315"
"MyPrecious","AVENGERS","Unassigned","37","137","3001496","2361738","140789","3","12.33","45.67","1000499","787246","46930"
"SasoStyle","Divided","Unassigned","37","87","4799040","1446774","313826","2","18.50","43.50","2399520","723387","156913"
"DrancisFrake","FAKER-FAMILY","Unassigned","36","150","4666904","4876060","1640074","3","12.00","50.00","1555635","1625353","546691"
"Misciolotto","V3RTEX","Unassigned","36","85","2101878","7845910","428520","4","9.00","21.25","525470","1961478","107130"
"ExcellenT","FAKER-FAMILY","Unassigned","36","90","2708287","2403784","250731","2","18.00","45.00","1354144","1201892","125366"
"Madoro","DYNASTY","Unassigned","35","65","2536086","4758309","111552","3","11.67","21.67","845362","1586103","37184"
"Lorein","AVENGERS","Unassigned","35","95","2363758","3860490","134303","3","11.67","31.67","787919","1286830","44768"
"iMissed","JustCrits","Unassigned","35","107","2174814","1031190","0","1","35.00","107.00","2174814","1031190","0"
"NiJ","SORROW","Unassigned","34","64","2213440","1678133","28414","1","34.00","64.00","2213440","1678133","28414"
"J","Divided","Unassigned","34","45","1444767","1702297","39483","1","34.00","45.00","1444767","1702297","39483"
"Perseas","Mythros","Unassigned","33","127","2286708","3607111","296910","3","11.00","42.33","762236","1202370","98970"
"RoOumen","SORROW","Unassigned","33","93","1437342","4342020","290786","2","16.50","46.50","718671","2171010","145393"
"Yaqsama","SOVEREIGN","Unassigned","32","334","1479416","5636905","411748","8","4.00","41.75","184927","704613","51469"
"Catuuh","Orca","Unassigned","32","265","2057519","3717310","292007","4","8.00","66.25","514380","929328","73002"
"validola","SORROW","Unassigned","32","51","1373534","3939105","0","2","16.00","25.50","686767","1969553","0"
"Wimbip","DYNASTY","Unassigned","31","136","4269481","3992737","153688","3","10.33","45.33","1423160","1330912","51229"
"Zachriel","Nova","Unassigned","31","418","1279208","3438740","3209296","6","5.17","69.67","213201","573123","534883"
"Girie","Orca","Unassigned","31","92","1546846","948083","0","1","31.00","92.00","1546846","948083","0"
"FarmoKiwi","Nova","Unassigned","31","82","1632086","818740","592","2","15.50","41.00","816043","409370","296"
"housingenjoyer","SOVEREIGN","Unassigned","30","102","2547385","3603759","119553","2","15.00","51.00","1273693","1801880","59777"
"tenshiok","AVENGERS","Unassigned","30","91","1919537","4709057","139944","3","10.00","30.33","639846","1569686","46648"
"Gowwsth","Divided","Unassigned","30","75","2839452","2208836","63836","2","15.00","37.50","1419726","1104418","31918"
"cemzxd","NIGHTSHIFT","Unassigned","30","76","3242030","2631434","15678","2","15.00","38.00","1621015","1315717","7839"
"Namka","JustCrits","Unassigned","29","165","1812130","671795","30276","2","14.50","82.50","906065","335898","15138"
"Nou","Royal Legion","Unassigned","28","171","2700479","10700293","869754","5","5.60","34.20","540096","2140059","173951"
